Sample Name/Number;Species Name;Image File Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter;Perimeter;Area;Holes;Area+Holes;Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM);ROI (left);ROI (top);ROI (right);ROI (bottom)
1_A1_1;PMR_ExStream22_Main_EPT;1_1_A1_1_2023_12_04-15-07-42-732.PNG;;;;;;;;C01_T_ohne;724;2397;115733;19;115752;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_1;MSH;04/12/2023 15:07:42;131;0;871;476
1_A1_1;PMR_ExStream22_Main_EPT;2_1_A1_1_2023_12_04-15-07-42-743.PNG;;;;;;;;C01_T_ohne;741;1922;108322;3;108325;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_1;MSH;04/12/2023 15:07:42;148;0;868;476
1_A1_1;PMR_ExStream22_Main_EPT;1_1_A1_1_2023_12_04-15-07-42-755.PNG;;;;;;;;C01_T_ohne;724;2397;115733;19;115752;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_1;MSH;04/12/2023 15:07:42;131;0;871;476
1_A1_1;PMR_ExStream22_Main_EPT;2_1_A1_1_2023_12_04-15-07-42-767.PNG;;;;;;;;C01_T_ohne;738;1913;109790;7;109797;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_1;MSH;04/12/2023 15:07:42;186;0;919;476
1_A1_1;PMR_ExStream22_Main_EPT;1_1_A1_1_2023_12_04-15-07-42-781.PNG;;;;;;;;C01_T_ohne;751;2335;118036;157;118193;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_1;MSH;04/12/2023 15:07:42;201;0;973;476
1_A1_1;PMR_ExStream22_Main_EPT;2_1_A1_1_2023_12_04-15-07-42-792.PNG;;;;;;;;C01_T_ohne;733;1990;111329;52;111381;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_1;MSH;04/12/2023 15:07:42;221;0;966;476
1_A1_1;PMR_ExStream22_Main_EPT;1_1_A1_1_2023_12_04-15-07-42-804.PNG;;;;;;;;C01_T_ohne;763;2406;118809;128;118937;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_1;MSH;04/12/2023 15:07:42;232;0;1023;476
1_A1_1;PMR_ExStream22_Main_EPT;2_1_A1_1_2023_12_04-15-07-42-816.PNG;;;;;;;;C01_T_ohne;735;2079;112153;177;112330;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_1;MSH;04/12/2023 15:07:42;251;0;1013;476
1_A1_1;PMR_ExStream22_Main_EPT;1_1_A1_1_2023_12_04-15-07-42-828.PNG;;;;;;;;C01_T_ohne;768;2493;118972;133;119105;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_1;MSH;04/12/2023 15:07:42;275;0;1071;476
1_A1_1;PMR_ExStream22_Main_EPT;2_1_A1_1_2023_12_04-15-07-42-839.PNG;;;;;;;;C01_T_ohne;740;2046;112535;272;112807;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_1;MSH;04/12/2023 15:07:42;286;0;1061;476
1_A1_1;PMR_ExStream22_Main_EPT;2_1_A1_1_2023_12_04-15-07-42-860.PNG;;;;;;;;C01_T_ohne;736;2042;112767;316;113083;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_1;MSH;04/12/2023 15:07:43;333;0;1108;476
1_A1_2;PMR_ExStream22_Main_EPT;2_1_A1_2_2023_12_04-15-09-39-587.PNG;;;;;;;;C01_T_ohne;725;2243;107879;338;108217;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_2;MSH;04/12/2023 15:09:39;72;0;785;476
1_A1_2;PMR_ExStream22_Main_EPT;1_1_A1_2_2023_12_04-15-09-39-576.PNG;;;;;;;;C01_T_ohne;732;2068;113862;786;114648;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_2;MSH;04/12/2023 15:09:39;73;0;816;476
1_A1_2;PMR_ExStream22_Main_EPT;2_1_A1_2_2023_12_04-15-09-39-613.PNG;;;;;;;;C01_T_ohne;725;2179;108486;356;108842;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_2;MSH;04/12/2023 15:09:39;119;0;842;476
1_A1_2;PMR_ExStream22_Main_EPT;1_1_A1_2_2023_12_04-15-09-39-600.PNG;;;;;;;;C01_T_ohne;732;2068;113862;786;114648;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_2;MSH;04/12/2023 15:09:39;73;0;816;476
1_A1_2;PMR_ExStream22_Main_EPT;2_1_A1_2_2023_12_04-15-09-39-636.PNG;;;;;;;;C01_T_ohne;724;2283;108588;27;108615;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_2;MSH;04/12/2023 15:09:39;145;0;872;476
1_A1_2;PMR_ExStream22_Main_EPT;1_1_A1_2_2023_12_04-15-09-39-625.PNG;;;;;;;;C01_T_ohne;735;2153;112712;365;113077;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_2;MSH;04/12/2023 15:09:39;127;0;877;476
1_A1_2;PMR_ExStream22_Main_EPT;2_1_A1_2_2023_12_04-15-09-39-660.PNG;;;;;;;;C01_T_ohne;723;2261;108712;39;108751;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_2;MSH;04/12/2023 15:09:39;172;0;903;476
1_A1_2;PMR_ExStream22_Main_EPT;1_1_A1_2_2023_12_04-15-09-39-648.PNG;;;;;;;;C01_T_ohne;735;2153;112712;365;113077;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_2;MSH;04/12/2023 15:09:39;127;0;877;476
1_A1_2;PMR_ExStream22_Main_EPT;2_1_A1_2_2023_12_04-15-09-39-684.PNG;;;;;;;;C01_T_ohne;723;2229;108817;56;108873;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\1_A1\1_A1_2;MSH;04/12/2023 15:09:39;207;0;935;476
