Sample Name/Number;Species Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter (max);Max Feret Diameter (mean);Max Feret Diameter (std. dev.);Perimeter (mean);Perimeter (std. dev.);Area (mean);Area(std. dev.);Holes (mean);Holes (std. dev.);Area+Holes (mean);Area+Holes (std. dev.);Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM)
6_F1_0;PMR_ExStream22_Main_EPT;;C36;;1531,39 mg;;;Trichoptera;C36_T_ohne nur hinterleib;36;35;1;129;14;385;19;29;45;414;56;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F1\6_F1_0;MSH;20.12.2023 09:17
6_F1_1;PMR_ExStream22_Main_EPT;;C36;;;;;Trichoptera;C36_T_ohne nur hinterleib;109;97;4;273;29;2109;182;26;26;2134;195;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F1\6_F1_1;MSH;20.12.2023 09:17
6_F1_2;PMR_ExStream22_Main_EPT;;C36;;;;;Trichoptera;C36_T_ohne nur hinterleib;90;78;7;216;20;1697;160;3;4;1700;161;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F1\6_F1_2;MSH;20.12.2023 09:18
6_F2_1;PMR_ExStream22_Main_EPT;;C36;;1526,69 mg;;;Trichoptera;C36_T_mit;395;313;69;818;148;20439;4390;10;23;20449;4383;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F2\6_F2_1;MSH;20.12.2023 09:19
6_F2_2;PMR_ExStream22_Main_EPT;;C36;;;;;Trichoptera;C36_T_mit;374;306;63;775;132;19812;3297;8;15;19821;3294;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F2\6_F2_2;MSH;20.12.2023 09:19
6_F2_3;PMR_ExStream22_Main_EPT;;C36;;;;;Trichoptera;C36_T_mit;365;304;42;809;71;21733;1511;11;14;21745;1511;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F2\6_F2_3;MSH;20.12.2023 09:20
6_F3_1;PMR_ExStream22_Main_EPT;;C36;;1528,49 mg;;;Trichoptera;C36_E_ nur kopf;216;171;40;708;206;7037;1518;39;43;7076;1550;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F3\6_F3_1;MSH;20.12.2023 09:21
6_F3_2;PMR_ExStream22_Main_EPT;;C36;;;;;Trichoptera;C36_E_ nur kopf;189;154;32;592;122;6991;523;28;24;7020;539;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F3\6_F3_2;MSH;20.12.2023 09:21
6_F4_1;PMR_ExStream22_Main_EPT;;C37;;1524,77 mg;;;Trichoptera;C37_T_ohne;334;324;9;903;76;15961;670;29;27;15989;679;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F4\6_F4_1;MSH;20.12.2023 09:27
6_F4_2;PMR_ExStream22_Main_EPT;;C37;;;;;Trichoptera;C37_T_ohne;290;216;68;762;219;13041;2714;52;29;13093;2734;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F4\6_F4_2;MSH;20.12.2023 09:27
6_F5_1;PMR_ExStream22_Main_EPT;;C37;;1532,82 mg;;;Trichoptera;C37_T_ohne;590;572;10;1382;45;42964;766;327;51;43291;803;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F5\6_F5_1;MSH;20.12.2023 09:28
6_F5_2;PMR_ExStream22_Main_EPT;;C37;;;;;Trichoptera;C37_T_ohne;615;479;67;1316;174;38471;6462;301;174;38772;6602;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F5\6_F5_2;MSH;20.12.2023 09:29
6_F6_1;PMR_ExStream22_Main_EPT;;C37;;1519,43 mg;;;Trichoptera;C37_T_ohne;302;252;29;751;37;10757;1068;17;20;10774;1069;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F6\6_F6_1;MSH;20.12.2023 09:29
6_F6_2;PMR_ExStream22_Main_EPT;;C37;;;;;Trichoptera;C37_T_ohne;311;232;79;706;145;9925;3001;7;16;9932;3000;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F6\6_F6_2;MSH;20.12.2023 09:30
6_F7_1;PMR_ExStream22_Main_EPT;;C37;;1525,69 mg;;;Trichoptera;C37_T_ohne;376;337;22;916;80;12623;1200;72;206;12695;1198;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F7\6_F7_1;MSH;20.12.2023 09:31
6_F7_2;PMR_ExStream22_Main_EPT;;C37;;;;;Trichoptera;C37_T_ohne;416;328;85;896;183;11937;2743;44;69;11981;2733;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F7\6_F7_2;MSH;20.12.2023 09:31
6_F8_1;PMR_ExStream22_Main_EPT;;C37;;1527,16 mg;;;Trichoptera;C37_T_ohne;223;197;22;607;40;6305;609;10;11;6315;610;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F8\6_F8_1;MSH;20.12.2023 09:32
6_F8_2;PMR_ExStream22_Main_EPT;;C37;;;;;Trichoptera;C37_T_ohne;235;195;45;667;151;6610;1562;20;22;6631;1567;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F8\6_F8_2;MSH;20.12.2023 09:32
6_F9_1;PMR_ExStream22_Main_EPT;;C37;;1521,21 mg;;;Trichoptera;C37_T_ohne;693;673;12;3524;361;92282;3854;2911;467;95193;4311;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F9\6_F9_1;MSH;20.12.2023 09:33
6_F9_2;PMR_ExStream22_Main_EPT;;C37;;;;;Trichoptera;C37_T_ohne;752;724;18;3026;177;96130;4965;1872;1221;98002;5999;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F9\6_F9_2;MSH;20.12.2023 09:34
6_F10_1;PMR_ExStream22_Main_EPT;;C37;;1528,21 mg;;;Trichoptera;C37_T_ohne;816;797;15;3213;318;113376;3331;1120;442;114496;3663;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F10\6_F10_1;MSH;20.12.2023 09:34
6_F10_2;PMR_ExStream22_Main_EPT;;C37;;;;;Trichoptera;C37_T_ohne;828;805;16;3368;209;108696;3112;498;476;109194;3001;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F10\6_F10_2;MSH;20.12.2023 09:35
6_F10_3;PMR_ExStream22_Main_EPT;;C37;;;;;Trichoptera;C37_T_ohne;803;754;34;3221;68;106589;1810;431;162;107020;1868;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F10\6_F10_3;MSH;20.12.2023 09:36
6_F11_1;PMR_ExStream22_Main_EPT;;C37;;1521,15 mg;;;Trichoptera;C37_T_ohne;769;751;12;2154;143;109808;4427;175;223;109982;4557;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F11\6_F11_1;MSH;20.12.2023 09:36
6_F11_2;PMR_ExStream22_Main_EPT;;C37;;;;;Trichoptera;C37_T_ohne;789;751;25;2133;112;110604;4940;132;69;110736;4882;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F11\6_F11_2;MSH;20.12.2023 09:37
6_F11_3;PMR_ExStream22_Main_EPT;;C37;;;;;Trichoptera;C37_T_ohne;813;789;16;2323;83;116874;2566;216;247;117091;2797;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F11\6_F11_3;MSH;20.12.2023 09:37
6_F11_4;PMR_ExStream22_Main_EPT;;C37;;;;;Trichoptera;C37_T_ohne;781;766;10;2283;175;111878;5151;66;81;111944;5201;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F11\6_F11_4;MSH;20.12.2023 09:37
6_F12_1;PMR_ExStream22_Main_EPT;;C37;;1524,03 mg;;;Trichoptera;C37_T_ohne;754;732;17;1964;66;111051;653;49;18;111100;665;2000;50;100;8;\images\Expo_2000_Ap_8\PMR_ExStream22_Main_EPT\6_F12\6_F12_1;MSH;20.12.2023 09:38
